Athlete,Country,Gender,Discipline,Event,Year,Medal
"AMMANN, Simon",SUI,Men,Ski Jumping,K90 Individual (70M),2010,Gold
"AMONTE, Tony",USA,Men,Ice Hockey,Ice Hockey,2002,Silver
"AMOSOVA, Zinaida",URS,Women,Cross Country Skiing,4X5KM Relay,1976,Gold
"AN, Sang-Mi",KOR,Women,Short Track Speed Skating,3000M Relay,1998,Gold
"AN, Victor",RUS,Men,Short Track Speed Skating,1000M,2014,Gold
"AN, Victor",RUS,Men,Short Track Speed Skating,1500M,2014,Bronze
"AN, Victor",RUS,Men,Short Track Speed Skating,5000M Relay,2014,Gold
"AN, Victor",RUS,Men,Short Track Speed Skating,500M,2014,Gold
"AN, Yulong",CHN,Men,Short Track Speed Skating,5000M Relay,1998,Bronze
"AN, Yulong",CHN,Men,Short Track Speed Skating,500M,1998,Silver
"AN, Yulong",CHN,Men,Short Track Speed Skating,5000M Relay,2002,Bronze
"ANAKIN, Douglas",CAN,Men,Bobsleigh,Four-Man,1964,Gold
"ANDERHUB, Steve",SUI,Men,Bobsleigh,Two-Man,2002,Silver
"ANDERSEN, Alf",NOR,Men,Ski Jumping,K90 Individual (70M),1928,Gold
"ANDERSEN, Hjalmar",NOR,Men,Speed skating,10000M,1952,Gold
"ANDERSEN, Hjalmar",NOR,Men,Speed skating,1500M,1952,Gold
"ANDERSEN, Hjalmar",NOR,Men,Speed skating,5000M,1952,Gold
"ANDERSEN, Reidar",NOR,Men,Ski Jumping,K90 Individual (70M),1936,Bronze
"ANDERSEN, Terje",NOR,Men,Speed skating,1500M,1980,Bronze
"ANDERSON, Jamie",USA,Women,Snowboard,Slopestyle,2014,Gold
"ANDERSON, Jasey Jay",CAN,Men,Snowboard,Giant Parallel Slalom,2010,Gold
"ANDERSON, Osborn",USA,Men,Ice Hockey,Ice Hockey,1932,Silver
"ANDERSON, Wendell Richard",USA,Men,Ice Hockey,Ice Hockey,1956,Silver
"ANDERSON, William",GBR,Men,Ice Hockey,Ice Hockey,1924,Bronze
"ANDERSSON-TVILLING, Hans Lennart",SWE,Men,Ice Hockey,Ice Hockey,1952,Bronze
"ANDERSSON-TVILLING, Stig Gunnar",SWE,Men,Ice Hockey,Ice Hockey,1952,Bronze
"ANDERSSON, Ake",SWE,Men,Ice Hockey,Ice Hockey,1952,Bronze
"ANDERSSON, Anders",SWE,Men,Ice Hockey,Ice Hockey,1964,Silver
"ANDERSSON, Anna",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"ANDERSSON, Bjarne",SWE,Men,Cross Country Skiing,4X10KM Relay,1968,Silver
"ANDERSSON, Cecilia",SWE,Women,Ice Hockey,Ice Hockey,2006,Silver
"ANDERSSON, Gunilla",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"ANDERSSON, Gunilla",SWE,Women,Ice Hockey,Ice Hockey,2006,Silver
"ANDERSSON, Leif",SWE,Men,Biathlon,4X7.5KM Relay,1992,Bronze
"ANDERSSON, Lina",SWE,Women,Cross Country Skiing,Team Sprint,2006,Gold
"ANDERSSON, Mikael",SWE,Men,Ice Hockey,Ice Hockey,1988,Bronze
"ANDERSSON, Peter I",SWE,Men,Ice Hockey,Ice Hockey,1988,Bronze
"ANDERSSON, Sigurd",SWE,Men,Cross Country Skiing,4X10KM Relay,1952,Bronze
"ANDERSSON, Sture",SWE,Men,Ice Hockey,Ice Hockey,1980,Bronze
"ANDERSSON, Volger",SWE,Men,Cross Country Skiing,50KM,1928,Bronze
"ANDING, Carola",GDR,Women,Cross Country Skiing,4X5KM Relay,1980,Gold
"ANDRE, Georges",FRA,Men,Curling,Curling,1924,Bronze
"ANDREASSEN, Gunn Margit",NOR,Women,Biathlon,4X7.5KM Relay,1998,Bronze
"ANDREASSEN, Gunn Margit",NOR,Women,Biathlon,4X7.5KM Relay,2002,Silver
"ANDREOSSI, Giannin",SUI,Men,Ice Hockey,Ice Hockey,1928,Bronze
"ANDREOSSI, Mezzi",SUI,Men,Ice Hockey,Ice Hockey,1928,Bronze
"ANDRES, Dominic",SUI,Men,Curling,Curling,1998,Gold
"ANDRESEN, Frode",NOR,Men,Biathlon,10KM,1998,Silver
"ANDRESEN, Frode",NOR,Men,Biathlon,4X7.5KM Relay,2002,Gold
"ANDRESEN, Frode",NOR,Men,Biathlon,10KM,2006,Bronze
"ANDREWS, Scott",GBR,Men,Curling,Curling,2014,Silver
"ANESI, Matteo",ITA,Men,Speed skating,Team Pursuit,2006,Gold
"ANGERER, Peter",FRG,Men,Biathlon,4X7.5KM Relay,1980,Bronze
"ANGERER, Peter",FRG,Men,Biathlon,10KM,1984,Silver
"ANGERER, Peter",FRG,Men,Biathlon,20KM,1984,Gold
"ANGERER, Peter",FRG,Men,Biathlon,4X7.5KM Relay,1984,Bronze
"ANGERER, Peter",FRG,Men,Biathlon,4X7.5KM Relay,1988,Silver
"ANGERER, Tobias",GER,Men,Cross Country Skiing,4X10KM Relay,2002,Bronze
"ANGERER, Tobias",GER,Men,Cross Country Skiing,15KM,2006,Bronze
"ANGERER, Tobias",GER,Men,Cross Country Skiing,4X10KM Relay,2006,Silver
"ANGERER, Tobias",GER,Men,Cross Country Skiing,Combined 15 + 15KM Mass Start,2010,Silver
"ANGST, Heinrich",SUI,Men,Bobsleigh,Four-Man,1956,Gold
"ANGST, Max",SUI,Men,Bobsleigh,Two-Man,1956,Bronze
"ANIKIN, Nikolay",URS,Men,Cross Country Skiing,4X10KM Relay,1956,Gold
"ANIKIN, Nikolay",URS,Men,Cross Country Skiing,30KM Mass Start,1960,Bronze
"ANIKIN, Nikolay",URS,Men,Cross Country Skiing,4X10KM Relay,1960,Bronze
"ANISSINA, Marina",FRA,Women,Figure skating,Ice Dancing,1998,Bronze
"ANISSINA, Marina",FRA,Women,Figure skating,Ice Dancing,2002,Gold
"ANNEN, Martin",SUI,Men,Bobsleigh,Two-Man,2002,Bronze
"ANNEN, Martin",SUI,Men,Bobsleigh,Four-Man,2006,Bronze
"ANNEN, Martin",SUI,Men,Bobsleigh,Two-Man,2006,Bronze
"ANSCHUETZ THOMS, Daniela",GER,Women,Speed skating,Team Pursuit,2006,Gold
"ANSCHUTZ THOMS, Daniela",GER,Women,Speed skating,Team Pursuit,2010,Gold
"ANTAL, Dana",CAN,Women,Ice Hockey,Ice Hockey,2002,Gold
"ANTHAMATTEN, Sophie",SUI,Women,Ice Hockey,Ice Hockey,2014,Bronze
"ANTHONIOZ, Deborah",FRA,Women,Snowboard,Snowboard Cross,2010,Silver
"ANTOINE, Matthew",USA,Men,Skeleton,Individual,2014,Bronze
"ANTONIOLI, Michele",ITA,Men,Short Track Speed Skating,5000M Relay,2002,Silver
"ANTONOV, Vladislav",RUS,Men,Luge,Mixed Relay,2014,Silver
"ANTSON, Ants",URS,Men,Speed skating,1500M,1964,Gold
"AOCHI, Seiji",JPN,Men,Ski Jumping,K90 Individual (70M),1972,Bronze
"APEL, Katrin",GER,Women,Biathlon,4X7.5KM Relay,1998,Gold
"APEL, Katrin",GER,Women,Biathlon,7.5KM,1998,Bronze
"APEL, Katrin",GER,Women,Biathlon,4X7.5KM Relay,2002,Gold
"APEL, Katrin",GER,Women,Biathlon,4X6KM Relay,2006,Silver
"APELAND, Knut",NOR,Men,Nordic Combined,Team,1992,Silver
"APELAND, Knut",NOR,Men,Nordic Combined,Team,1994,Silver
"APPELT, Ingo",AUT,Men,Bobsleigh,Four-Man,1992,Gold
"APPS, Gillian",CAN,Women,Ice Hockey,Ice Hockey,2006,Gold
"APPS, Gillian",CAN,Women,Ice Hockey,Ice Hockey,2010,Gold
"APPS, Gillian",CAN,Women,Ice Hockey,Ice Hockey,2014,Gold
"ARAKAWA, Shizuka",JPN,Women,Figure skating,Individual,2006,Gold
"ARCHER, Alexander",GBR,Men,Ice Hockey,Ice Hockey,1936,Gold
"ARCHIBALD, David",CAN,Men,Ice Hockey,Ice Hockey,1992,Silver
"ARLT, Tobias",GER,Men,Luge,Doubles,2014,Gold
"ARLT, Tobias",GER,Men,Luge,Mixed Relay,2014,Gold
"ARMANO, Mario",ITA,Men,Bobsleigh,Four-Man,1968,Gold
"ARMSTRONG, Debbie",USA,Women,Alpine Skiing,Giant Slalom,1984,Gold
"ARNOLD, Thomas",GBR,Men,Bobsleigh,Four-Man,1924,Silver
"ARTHUR, Adams",USA,Men,Bobsleigh,Two-Man,1932,Gold
"ARWIDSON, Lars-Göran",SWE,Men,Biathlon,4X7.5KM Relay,1968,Bronze
"ARWIDSON, Lars-Göran",SWE,Men,Biathlon,20KM,1972,Bronze
"ASADA, Mao",JPN,Women,Figure skating,Individual,2010,Silver
"ASCHENBACH, Hans-Georg",GDR,Men,Ski Jumping,K90 Individual (70M),1976,Gold
"ASCHENWALD, Hansjörg",AUT,Men,Nordic Combined,Team,1988,Bronze
"ASHFORTH, Albert",USA,Men,Bobsleigh,Four-Man,1932,Silver
"ASHWORTH, Jeanne",USA,Women,Speed skating,500M,1960,Bronze
"ASPH, Karl-Ake",SWE,Men,Cross Country Skiing,4X10KM Relay,1964,Gold
"ASPLUND, Carl-Erik",SWE,Men,Speed skating,10000M,1952,Bronze
"ASSERHOLT, Jenni",SWE,Women,Ice Hockey,Ice Hockey,2006,Silver
"ASTLEY, D.-G.",GBR,Men,Curling,Curling,1924,Gold
"ASTLEY, Mark",CAN,Men,Ice Hockey,Ice Hockey,1994,Silver
"ATKINSON, James Neil",USA,Men,Bobsleigh,Four-Man,1952,Silver
"ATTERSLEY, Robert",CAN,Men,Ice Hockey,Ice Hockey,1960,Silver
"ATTWOOD, Paul",GBR,Men,Bobsleigh,Four-Man,1998,Bronze
"AUCH, Susan",CAN,Women,Speed skating,500M,1994,Silver
"AUCH, Susan",CAN,Women,Speed skating,500M,1998,Silver
"AUCOIN, Adrian",CAN,Men,Ice Hockey,Ice Hockey,1994,Silver
"AUDLEY, Gordon",CAN,Men,Speed skating,500M,1952,Bronze
"AUFDENBLATTEN, Adolf",SUI,Men,Biathlon,Military Patrol,1924,Gold
"AUFLES, Inger",NOR,Women,Cross Country Skiing,10KM,1968,Bronze
"AUFLES, Inger",NOR,Women,Cross Country Skiing,3X5KM Relay,1968,Gold
"AUFLES, Inger",NOR,Women,Cross Country Skiing,3X5KM Relay,1972,Bronze
"AUGUSTA, Josef",TCH,Men,Ice Hockey,Ice Hockey,1976,Silver
"AUGUSTA, Patrick",TCH,Men,Ice Hockey,Ice Hockey,1992,Bronze
"AUHUBER, Klaus",FRG,Men,Ice Hockey,Ice Hockey,1976,Bronze
"AUKLAND, Anders",NOR,Men,Cross Country Skiing,4X10KM Relay,2002,Gold
"AUNLI, Berit",NOR,Women,Cross Country Skiing,4X5KM Relay,1980,Bronze
"AUNLI, Berit",NOR,Women,Cross Country Skiing,4X5KM Relay,1984,Gold
"AUNLI, Berit",NOR,Women,Cross Country Skiing,5KM,1984,Silver
"AUNLI, Ove",NOR,Men,Cross Country Skiing,15KM,1980,Bronze
"AUNLI, Ove",NOR,Men,Cross Country Skiing,4X10KM Relay,1980,Silver
"AUSSENDORFER, Walter",ITA,Men,Luge,Doubles,1964,Bronze
"AVERBUKH, Ilia",RUS,Men,Figure skating,Ice Dancing,2002,Silver
"AVERINA, Tatyana",URS,Women,Speed skating,1000M,1976,Gold
"AVERINA, Tatyana",URS,Women,Speed skating,1500M,1976,Bronze
"AVERINA, Tatyana",URS,Women,Speed skating,3000M,1976,Gold
"AVERINA, Tatyana",URS,Women,Speed skating,500M,1976,Bronze
"AXELSSON, Per Johan",SWE,Men,Ice Hockey,Ice Hockey,2006,Gold
"BABICH, Evgeniy",URS,Men,Ice Hockey,Ice Hockey,1956,Gold
"BABINOV, Sergey",URS,Men,Ice Hockey,Ice Hockey,1976,Gold
"BABOCK, Jochen",GDR,Men,Bobsleigh,Four-Man,1976,Gold
"BACHLEDA-CURUS, Katarzyna",POL,Women,Speed skating,Team Pursuit,2010,Bronze
"BACHLEDA-CURUS, Katarzyna",POL,Women,Speed skating,Team Pursuit,2014,Silver
"BACHLER, Reinhold",AUT,Men,Ski Jumping,K90 Individual (70M),1968,Silver
"BÄCHLI, Ulrich",SUI,Men,Bobsleigh,Four-Man,1976,Silver
"BÄCHLI, Ulrich",SUI,Men,Bobsleigh,Four-Man,1980,Silver
"BACKES, David",USA,Men,Ice Hockey,Ice Hockey,2010,Silver
"BACKMAN, Christian",SWE,Men,Ice Hockey,Ice Hockey,2006,Gold
"BÄCKMAN, Kjell",SWE,Men,Speed skating,10000M,1960,Bronze
"BACKSTROM, Nicklas",SWE,Men,Ice Hockey,Ice Hockey,2014,Silver
"BACKSTROM, Niklas",FIN,Men,Ice Hockey,Ice Hockey,2006,Silver
"BACKSTROM, Niklas",FIN,Men,Ice Hockey,Ice Hockey,2010,Bronze
"BADER, Pepi",FRG,Men,Bobsleigh,Two-Man,1968,Silver
"BADER, Pepi",FRG,Men,Bobsleigh,Two-Man,1972,Silver
"BADGER, Sherwin",USA,Men,Figure skating,Pairs,1932,Silver
"BAHRKE, Shannon",USA,Women,Freestyle Skiing,Moguls,2002,Silver
"BAHRKE, Shannon",USA,Women,Freestyle Skiing,Moguls,2010,Bronze
"BAIER-LOEF, Anke",GER,Women,Speed skating,1000M,1994,Silver
"BAIER, Ernst",GER,Men,Figure skating,Individual,1936,Silver
"BAIER, Ernst",GER,Men,Figure skating,Pairs,1936,Gold
"BAILEY, Chris",USA,Women,Ice Hockey,Ice Hockey,1998,Gold
"BAILEY, Chris",USA,Women,Ice Hockey,Ice Hockey,2002,Silver
"BAILLY-SALINS, Patrice",FRA,Men,Biathlon,4X7.5KM Relay,1994,Bronze
"BAILLY, Sandrine",FRA,Women,Biathlon,4X6KM Relay,2006,Bronze
"BAILLY, Sandrine",FRA,Women,Biathlon,4X6KM Relay,2010,Silver
"BAIRD, Scott",USA,Men,Curling,Curling,2006,Bronze
"BAIUL, Oksana",UKR,Women,Figure skating,Individual,1994,Gold
"BAJANOVA, Svetlana",RUS,Women,Speed skating,3000M,1994,Gold
"BAKER, Laurie",USA,Women,Ice Hockey,Ice Hockey,1998,Gold
"BAKER, Laurie",USA,Women,Ice Hockey,Ice Hockey,2002,Silver
"BAKER, William",USA,Men,Ice Hockey,Ice Hockey,1980,Gold
"BAKKEN, Jill",USA,Women,Bobsleigh,Two-Man,2002,Gold
"BAKKER, Glenys",CAN,Women,Curling,Curling,2006,Bronze
"BAL, Nicolas",FRA,Men,Nordic Combined,Team,1998,Bronze
"BALDERIS, Helmuts",URS,Men,Ice Hockey,Ice Hockey,1980,Silver
"BALDYCHEVA, Nina",URS,Women,Cross Country Skiing,4X5KM Relay,1976,Gold
"BALDYCHEVA, Nina",URS,Women,Cross Country Skiing,5KM,1976,Bronze
"BALDYCHEVA, Nina",URS,Women,Cross Country Skiing,4X5KM Relay,1980,Silver
"BALL, Rudolf",GER,Men,Ice Hockey,Ice Hockey,1932,Bronze
"BALLANGRUD, Ivar",NOR,Men,Speed skating,1500M,1928,Bronze
"BALLANGRUD, Ivar",NOR,Men,Speed skating,5000M,1928,Gold
"BALLANGRUD, Ivar",NOR,Men,Speed skating,10000M,1932,Silver
"BALLANGRUD, Ivar",NOR,Men,Speed skating,10000M,1936,Gold
"BALLANGRUD, Ivar",NOR,Men,Speed skating,1500M,1936,Silver
"BALLANGRUD, Ivar",NOR,Men,Speed skating,5000M,1936,Gold
"BALLANGRUD, Ivar",NOR,Men,Speed skating,500M,1936,Gold
"BÄNNINGER, Hans",SUI,Men,Ice Hockey,Ice Hockey,1948,Bronze
"BAOUTINE, Sergei",EUN,Men,Ice Hockey,Ice Hockey,1992,Gold
"BARANOVA-MASOLKINA, Natalia",RUS,Women,Cross Country Skiing,4X5KM Relay,2006,Gold
"BARANOVA, Lyubov",URS,Women,Cross Country Skiing,10KM,1956,Gold
"BARANOVA, Lyubov",URS,Women,Cross Country Skiing,3X5KM Relay,1956,Silver
"BARANOVA, Lyubov",URS,Women,Cross Country Skiing,10KM,1960,Silver
"BARANOVA, Lyubov",URS,Women,Cross Country Skiing,3X5KM Relay,1960,Silver
"BARDAL, Anders",NOR,Men,Ski Jumping,K120 Team (90M),2010,Bronze
"BARDAL, Anders",NOR,Men,Ski Jumping,Normal Hill,2014,Bronze
"BARKOV, Aleksander",FIN,Men,Ice Hockey,Ice Hockey,2014,Bronze
"BARNA, Petr",TCH,Men,Figure skating,Individual,1992,Bronze
"BARNACHOV, Vladimir",URS,Men,Biathlon,4X7.5KM Relay,1980,Gold
"BARRASSO, Tom",USA,Men,Ice Hockey,Ice Hockey,2002,Silver
"BARTEL, Cori",CAN,Women,Curling,Curling,2010,Silver
"BARTELS, Wolfgang",EUA,Men,Alpine Skiing,Downhill,1964,Bronze
"BARTHELOMEW, Kenneth",USA,Men,Speed skating,500M,1948,Silver
"BARTLETT, Don",CAN,Men,Curling,Curling,2002,Silver
"BARTZ, Randall",USA,Men,Short Track Speed Skating,5000M Relay,1994,Silver
"BARYSHEVA, Varvara",RUS,Women,Speed skating,Team Pursuit,2006,Bronze
"BASTILLE, Guillaume",CAN,Men,Short Track Speed Skating,5000M Relay,2010,Gold
"BATIUK, Aleksandr",URS,Men,Cross Country Skiing,4X10KM Relay,1984,Silver
"BAUER, Lukas",CZE,Men,Cross Country Skiing,15KM,2006,Silver
"BAUER, Lukas",CZE,Men,Cross Country Skiing,15KM,2010,Bronze
"BAUER, Lukas",CZE,Men,Cross Country Skiing,4X10KM Relay,2010,Bronze
"BAUER, Viola",GER,Women,Cross Country Skiing,4X5KM Relay,2002,Gold
"BAUER, Viola",GER,Women,Cross Country Skiing,5Km Pursuit,2002,Bronze
"BAUER, Viola",GER,Women,Cross Country Skiing,4X5KM Relay,2006,Silver
"BAUGNIET, Pierre",BEL,Men,Figure skating,Pairs,1948,Gold
"BAULIN, Yuri",URS,Men,Ice Hockey,Ice Hockey,1960,Bronze
"BAUMANN, Alex",SUI,Men,Bobsleigh,Two-Man,2014,Silver
"BÄUMLER, Hans Jürgen",EUA,Men,Figure skating,Pairs,1960,Silver
"BÄUMLER, Hans Jürgen",EUA,Men,Figure skating,Pairs,1964,Silver
"BAVER, Allison",USA,Women,Short Track Speed Skating,3000M Relay,2010,Bronze
"BAVEREL-ROBERT, Florence",FRA,Women,Biathlon,4X6KM Relay,2006,Bronze
"BAVEREL-ROBERT, Florence",FRA,Women,Biathlon,7.5KM,2006,Gold
